ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
ABT,2021,-0.114831897,0.06943577,5,26.97816319,0.29561836,1.243576907,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ABT,2022,0.195921799,0.123500836,6,26.85846128,0.243596343,0.980755396,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ABT,2023,0.014763181,0.138301393,5,26.91890263,0.246498062,0.999560625,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ACC,2016,0.037953494,0.187121729,4,26.05114201,0.312742413,0.930762029,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2017,-0.452768953,0.128171993,3,26.1077609,0.328371937,0.975082818,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2018,0.350586745,0.152637532,7,26.04627582,0.367989427,0.883702305,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2019,0.120164213,0.223719642,3,25.79843965,0.499853463,0.643648614,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2020,-0.199033346,0.406441379,5,27.25995743,0.444989916,1.361681099,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2021,0.953576526,0.055793337,8,26.52689365,0.595865148,0.697768419,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACC,2022,-0.096405038,0.246134715,7,27.99826494,0.4208291,1.187169015,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACC,2023,-0.1941196,0.048592007,5,28.04097606,0.453649039,1.172530774,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACG,2021,-0.08483411,0.049307039,8,28.87545049,0.242050917,0.919019972,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACG,2022,-0.275905697,0.177352393,9,29.24435427,0.284421212,1.283035612,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACG,2023,-0.019536833,0.087003871,9,29.43797014,0.244206377,1.459626554,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACL,2016,-0.207128997,0.133056513,4,26.01333514,0.702645087,0.562900274,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2017,-0.315223572,0.108785486,1,27.33125221,0.65992092,1.981453431,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2018,2.819258892,0.310936094,2,26.89453456,0.584060879,0.856879901,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2019,-0.40411158,0.295978696,7,26.57130755,0.544017304,0.520137023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2020,0.248648359,0.081324479,8,27.44786687,0.581535243,1.198974547,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2021,0.210837218,0.050547866,9,27.09805302,0.515524165,0.8307146,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ACL,2022,-0.515867088,0.200980863,10,27.11919545,0.44348783,0.727074157,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ACL,2023,-0.060296743,0.016437677,9,27.20341353,0.543133456,0.815959276,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ADC,2016,-0.301610572,0.111993409,3,24.626692,0.504801112,1.091910533,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2017,-0.219239617,0.189931239,2,24.6748941,0.552970893,1.059920325,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2018,0.161187127,0.192239637,4,24.60169069,0.550005611,0.913736452,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2019,0.099088584,0.22891356,4,24.88142991,0.552649549,1.108467671,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2020,-0.425930072,0.193402451,1,25.21926827,0.537172124,1.410443896,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2021,-0.31960225,0.115887893,4,24.94893831,0.534867906,1.022823856,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADC,2022,0.272345369,0.192225933,1,25.00545052,0.552971349,0.999995583,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
