ma,year,BIG4,LEV,M/B,SALES,SHRINC,LOSS,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
ACC,2018,0,0.367989427,0.883702305,3.80457E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2019,0,0.499853463,0.643648614,4.73638E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2020,0,0.444989916,1.361681099,4.8486E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2021,0,0.595865148,0.697768419,3.52999E+11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACC,2022,0,0.4208291,1.187169015,6.42234E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACC,2023,0,0.453649039,1.172530774,6.5159E+11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACG,2021,1,0.242050917,0.919019972,3.29351E+12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACG,2022,1,0.284421212,1.283035612,4.47548E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACG,2023,1,0.244206377,1.459626554,3.76213E+12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACL,2016,0,0.702645087,0.562900274,1.28947E+12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2017,0,0.65992092,1.981453431,1.1877E+12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2018,0,0.584060879,0.856879901,1.68885E+12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2019,0,0.544017304,0.520137023,1.41753E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2020,0,0.581535243,1.198974547,9.51757E+11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2021,0,0.515524165,0.8307146,1.21372E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ACL,2022,0,0.44348783,0.727074157,1.16695E+12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ACL,2023,0,0.543133456,0.815959276,1.1167E+12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ADC,2016,0,0.504801112,1.091910533,2.39417E+11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2017,0,0.552970893,1.059920325,3.03921E+11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2018,0,0.550005611,0.913736452,3.48974E+11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2019,0,0.552649549,1.108467671,3.78918E+11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2020,0,0.537172124,1.410443896,3.80804E+11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2021,0,0.534867906,1.022823856,2.99308E+11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADC,2022,0,0.552971349,0.999995583,3.90415E+11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADC,2023,0,0.519049642,0.96857187,4.31662E+11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADG,2020,1,0.460264533,3.8595517,4.51893E+11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADG,2021,0,0.400684599,1.863777081,5.8473E+11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADG,2022,0,0.207452693,2.422986128,5.36832E+11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADG,2023,0,0.230554511,1.179677932,4.11871E+11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADP,2016,0,0.304695207,2.276114752,6.3854E+11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2017,0,0.300265112,1.299207217,5.21608E+11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2018,0,0.234727182,1.170128864,5.23938E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2019,0,0.216072134,1.870270613,5.45397E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2020,0,0.186015068,1.482099667,5.72339E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2021,0,0.159745654,1.493342847,4.14642E+11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ADP,2022,0,0.234774425,1.553705113,5.8739E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ADP,2023,0,0.246869487,1.94946879,5.16212E+11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ADS,2016,0,0.797361463,1.178075641,1.10098E+12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2017,0,0.724733161,0.805521813,1.50265E+12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2018,0,0.736135018,0.621040738,1.83911E+12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2019,0,0.76745774,0.769126762,1.70514E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2020,0,0.770310842,1.895040464,1.33901E+12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2021,0,0.705867641,0.641551461,1.51315E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ADS,2022,0,0.698814433,0.856132846,1.69256E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ADS,2023,0,0.633255998,0.630210994,1.64185E+12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AGG,2020,1,0.762058362,1.89814635,1.75364E+12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AGG,2021,1,0.787057221,0.92165383,1.80836E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
